# Time started: Wed Jan 25 10:43:33 2017
# Simulation using 256 cells
# Format: time(tau)	 cellID	 cellType	 x	 y	 z
0.000000	178	C	-0.003862	0.004104	0.011219
0.000000	179	C	-0.010080	0.003790	0.005471
0.000000	180	C	0.001843	0.000520	-0.006498
0.000000	181	C	0.004593	-0.007521	0.006822
0.000000	182	C	-0.003160	0.007229	0.000651
0.000000	183	C	0.002061	0.001115	0.002363
0.000000	184	C	0.003310	0.003018	0.005419
0.000000	185	C	-0.003285	-0.003776	0.005421
0.000000	186	C	0.002599	-0.004476	-0.001226
0.000000	187	C	-0.000777	0.004569	-0.011016
0.000000	188	C	-0.000459	-0.007173	0.006475
0.000000	189	C	-0.004011	0.004940	-0.001565
0.000000	190	C	0.010637	-0.001370	-0.000618
0.000000	191	C	0.004619	-0.002875	-0.002977
0.000000	192	C	0.011679	-0.000220	0.001975
0.000000	193	C	0.008994	-0.005453	0.002302
0.000000	194	C	-0.010123	-0.002544	0.008963
0.000000	195	C	0.006996	0.011542	0.000882
0.000000	196	C	-0.001118	-0.001181	-0.009012
0.000000	197	C	0.000174	0.001238	0.010850
0.000000	198	C	-0.003838	-0.003760	-0.008214
0.000000	199	C	-0.010290	0.000332	0.008307
0.000000	200	C	-0.004561	0.007948	0.005470
0.000000	201	C	-0.005465	-0.002902	-0.006974
0.000000	202	C	0.000375	-0.000826	-0.000255
0.000000	203	C	-0.009836	0.000384	-0.002511
0.000000	204	C	-0.002076	0.008274	0.004513
0.000000	205	C	-0.011233	-0.004972	0.000282
0.000000	206	C	0.010861	0.006238	0.000439
0.000000	207	C	0.011227	-0.000174	0.006275
0.000000	208	C	-0.000165	-0.000475	-0.010422
0.000000	209	C	0.009038	-0.003793	-0.000844
0.000000	210	C	0.002084	0.005988	0.006230
0.000000	211	C	0.008088	0.009893	-0.001218
0.000000	212	C	0.000489	0.001615	0.010345
0.000000	213	C	-0.006960	-0.000689	-0.005238
0.000000	214	C	-0.000838	-0.013707	-0.001686
0.000000	215	C	0.006346	0.002885	-0.006437
0.000000	216	C	-0.003798	-0.002919	-0.007979
0.000000	217	C	-0.004069	0.005368	0.010110
0.000000	218	C	-0.004079	0.004699	-0.001731
0.000000	219	C	-0.011834	-0.000954	0.001840
0.000000	220	C	-0.004609	0.007905	0.005611
0.000000	221	C	-0.011429	0.001384	0.003776
0.000000	222	C	0.011009	0.005433	-0.000085
0.000000	223	C	0.003636	0.003135	-0.008170
0.000000	224	C	0.001787	-0.005756	-0.000237
0.000000	225	C	0.005748	-0.006914	-0.010029
0.000000	226	C	0.002288	-0.007353	0.001039
0.000000	227	C	-0.008314	-0.009477	-0.001521
0.000000	228	C	0.000393	-0.003919	0.010587
0.000000	229	C	0.009317	0.002414	-0.003948
0.000000	230	C	0.003317	-0.008037	0.005978
0.000000	231	C	-0.001662	-0.012693	-0.003679
0.000000	232	C	0.001013	-0.007761	0.002474
0.000000	233	C	-0.011074	-0.000278	-0.000730
0.000000	234	C	-0.005596	0.006984	0.007238
0.000000	235	C	0.000887	-0.004286	-0.000313
0.000000	236	C	-0.008011	0.004313	-0.010699
0.000000	237	C	0.006175	0.010976	-0.002563
0.000000	238	C	0.003606	-0.008081	0.005681
0.000000	239	C	0.002992	0.004800	0.004254
0.000000	240	C	0.004373	-0.002664	-0.012540
0.000000	241	C	0.006503	-0.002420	0.011321
0.000000	242	C	0.001471	0.000383	0.005443
0.000000	243	C	-0.003812	0.012598	-0.004472
0.000000	244	C	0.001946	0.002369	-0.009098
0.000000	245	C	0.001916	0.003826	-0.009532
0.000000	246	C	-0.001790	-0.003797	-0.009620
0.000000	247	C	0.000548	-0.000070	-0.001268
0.000000	248	C	0.002013	0.004589	0.008001
0.000000	249	C	-0.010951	-0.002568	-0.001497
0.000000	250	C	0.003017	0.001571	-0.007546
0.000000	251	C	0.000520	0.008592	-0.008614
0.000000	252	C	-0.008632	0.006566	-0.009012
0.000000	253	C	-0.002838	-0.003403	-0.008801
0.000000	254	C	-0.006354	-0.004289	-0.006634
0.000000	255	C	-0.011155	0.000835	0.000227
0.000000	256	C	0.009583	0.007622	-0.001520
0.000000	257	C	-0.003664	-0.013034	-0.001137
0.001000	1	H	-0.006581	0.003016	-0.003060
0.001000	2	H	0.002237	0.005034	0.007308
0.001000	3	H	-0.005542	0.010157	-0.007324
0.001000	4	H	0.006682	0.011427	-0.000623
0.001000	5	H	0.000317	0.006439	0.007955
0.001000	6	H	0.002408	-0.009446	-0.008498
0.001000	7	H	0.008499	0.002156	0.011024
0.001000	8	H	-0.008772	0.004994	0.000464
0.001000	9	H	-0.001999	0.008241	0.003629
0.001000	10	H	0.010021	0.005589	0.007974
0.001000	11	H	-0.003745	-0.001501	-0.007067
0.001000	12	H	-0.004125	0.007620	0.006853
0.001000	13	H	0.008257	0.002714	0.011244
0.001000	14	H	-0.000510	-0.004044	0.009865
0.001000	15	H	-0.001972	-0.005121	0.007641
0.001000	16	H	-0.003120	0.000757	-0.013551
0.001000	17	H	-0.004086	0.007630	0.001346
0.001000	18	H	0.002993	-0.007059	0.000456
0.001000	19	H	-0.005373	0.007546	-0.009683
0.001000	20	H	0.006538	0.004174	-0.006498
0.001000	21	H	-0.003812	0.008238	0.004346
0.001000	22	H	0.011210	-0.000266	-0.000066
0.001000	23	H	-0.009638	-0.000062	-0.002951
0.001000	24	H	0.006486	0.002770	-0.006319
0.001000	25	H	-0.008727	-0.009611	-0.000143
0.001000	26	H	0.007967	-0.005669	-0.009973
0.001000	27	H	-0.007518	-0.001426	0.011881
0.001000	28	H	0.004219	0.012861	-0.000883
0.001000	29	H	-0.010334	-0.007850	0.002685
0.001000	30	H	0.003873	-0.002450	0.012323
0.001000	31	H	0.002638	-0.000300	-0.013846
0.001000	32	H	0.000640	0.007902	-0.009000
0.001000	33	H	0.000513	0.007504	0.004900
0.001000	34	H	-0.005427	0.005985	-0.000790
0.001000	35	H	-0.001789	-0.007921	-0.008530
0.001000	36	H	-0.010229	-0.007982	0.003386
0.001000	37	H	-0.011845	-0.000925	0.004012
0.001000	38	H	0.000383	0.000181	-0.007400
0.001000	39	H	-0.002047	-0.009166	-0.007626
0.001000	40	H	0.008816	-0.005172	0.000904
0.001000	41	H	0.002346	-0.005364	0.010200
0.001000	42	H	0.011733	0.003803	0.001825
0.001000	43	H	0.010420	0.007581	0.003782
0.001000	44	H	-0.002213	0.000270	-0.003809
0.001000	45	H	0.006985	0.001291	-0.005504
0.001000	46	H	-0.002515	0.006203	-0.010704
0.001000	47	H	0.002370	-0.009822	-0.008164
0.001000	48	H	0.003700	-0.006411	-0.000375
0.001000	49	H	-0.010814	-0.001969	0.007758
0.001000	50	H	0.005687	0.000988	-0.005926
0.001000	51	H	-0.010892	-0.005623	-0.000286
0.001000	52	H	-0.001281	-0.001989	0.009251
0.001000	53	H	-0.000289	-0.007588	-0.009297
0.001000	54	H	0.008544	0.002532	0.010967
0.001000	55	H	-0.008654	-0.008042	-0.002821
0.001000	56	H	0.007708	-0.006562	0.002407
0.001000	57	H	0.006484	-0.002427	-0.003479
0.001000	58	H	-0.007675	0.003335	0.009857
0.001000	59	H	-0.002781	-0.000478	-0.006009
0.001000	60	H	0.001929	0.013934	0.000311
0.001000	61	H	-0.001859	-0.006403	0.003764
0.001000	62	H	-0.011658	0.000212	0.004337
0.001000	63	H	-0.002861	0.012018	-0.005613
0.001000	64	H	-0.002746	-0.005253	0.005709
0.001000	65	H	0.001479	0.008213	-0.008497
0.001000	66	H	-0.006516	-0.000460	-0.005309
0.001000	67	H	0.010433	-0.003534	0.004506
0.001000	68	H	0.002980	-0.004689	-0.001320
0.001000	69	H	-0.006684	0.001023	-0.004358
0.001000	70	H	-0.007861	-0.010720	0.004476
0.001000	71	H	-0.007180	0.006958	0.004672
0.001000	72	H	-0.005858	0.002777	-0.003283
0.001000	73	H	-0.008411	0.005408	0.006531
0.001000	74	H	0.005597	-0.002682	0.011653
0.001000	75	H	0.003468	-0.010535	-0.007406
0.001000	76	H	-0.009875	-0.007682	-0.000687
0.001000	77	H	0.007470	-0.006736	0.004853
0.001000	78	H	-0.004458	0.004852	-0.001727
0.001000	79	H	0.011777	0.003474	0.003913
0.001000	80	H	0.006733	0.007512	-0.005514
0.001000	81	H	-0.002269	-0.012007	-0.004511
0.001000	82	H	0.010120	-0.004179	0.003591
0.001000	83	H	-0.002197	0.006552	0.008913
0.001000	84	H	-0.004237	0.004308	-0.002009
0.001000	85	H	-0.003914	0.007123	0.007940
0.001000	86	H	0.001838	0.004055	-0.009595
0.001000	87	H	-0.005513	0.002100	-0.003716
0.001000	88	H	0.008114	-0.000619	-0.003955
0.001000	89	H	0.001874	0.013902	0.000031
0.001000	90	H	0.002468	0.000932	-0.007028
0.001000	91	H	0.008522	-0.007832	-0.008085
0.001000	92	H	-0.011769	-0.003755	0.002196
0.001000	93	H	0.006080	-0.007567	0.004539
0.001000	94	H	0.000864	0.002927	0.009904
0.001000	95	H	0.007462	-0.003115	-0.002708
0.001000	96	H	-0.005852	0.007600	0.002661
0.001000	97	H	0.009638	-0.001190	-0.002307
0.001000	98	H	0.002466	0.004704	0.007200
0.001000	99	H	0.008902	0.009866	0.002751
0.001000	100	H	0.001722	0.007857	-0.008594
0.001000	101	H	0.009751	0.008076	-0.000367
0.001000	102	H	0.001962	-0.012460	-0.004982
0.001000	103	H	-0.006484	0.000764	0.012101
0.001000	104	H	0.003768	-0.000248	0.013521
0.001000	105	H	0.005454	-0.002022	-0.003762
0.001000	106	H	0.005987	-0.004019	-0.002419
0.001000	107	H	-0.002246	-0.005848	0.006101
0.001000	108	H	-0.002423	0.000740	-0.003040
0.001000	109	H	0.009697	0.008049	-0.000589
0.001000	110	H	0.003225	0.004009	0.004277
0.001000	111	H	-0.007495	0.006366	0.001231
0.001000	112	H	0.001709	-0.001644	0.012694
0.001000	113	H	-0.011187	-0.003759	-0.000697
0.001000	114	H	-0.001941	-0.001705	-0.008590
0.001000	115	H	0.000788	0.004765	0.009211
0.001000	116	H	-0.001267	0.005491	0.009838
0.001000	117	H	-0.006784	-0.001773	-0.005812
0.001000	118	H	0.001113	-0.000068	-0.003017
0.001000	119	H	-0.000965	-0.012957	-0.003505
0.001000	120	H	0.006203	0.000863	0.012736
0.001000	121	H	-0.008470	-0.009811	-0.000418
0.001000	122	H	-0.005158	0.002281	0.012066
0.001000	123	H	0.005040	0.011644	-0.002808
0.001000	124	H	-0.006466	0.000580	-0.004695
0.001000	125	H	0.010425	-0.001441	0.007460
0.001000	126	H	-0.011143	0.000896	0.000246
0.001000	127	H	-0.007497	0.007076	-0.009267
0.001000	128	H	-0.001734	0.006995	0.008216
0.001000	130	C	-0.006658	-0.002790	-0.006215
0.001000	131	C	-0.007960	-0.009883	-0.001518
0.001000	132	C	-0.001511	-0.000475	-0.006642
0.001000	133	C	0.005039	-0.007450	0.006663
0.001000	134	C	0.001789	0.003615	0.008715
0.001000	135	C	-0.003182	0.008166	0.002797
0.001000	136	C	0.001520	0.000764	0.001732
0.001000	137	C	0.002114	-0.000726	0.013491
0.001000	138	C	-0.002434	0.008268	0.003520
0.001000	139	C	0.001853	0.002477	0.001503
0.001000	140	C	0.000212	0.013197	-0.003291
0.001000	141	C	-0.000402	0.006800	0.007951
0.001000	142	C	-0.009780	-0.005176	-0.003012
0.001000	143	C	-0.004153	0.003710	-0.002313
0.001000	144	C	-0.008944	0.007147	-0.008369
0.001000	145	C	0.001759	0.010816	-0.006284
0.001000	146	C	-0.006606	0.006547	0.000547
0.001000	147	C	0.005628	0.006986	-0.006677
0.001000	148	C	0.009180	0.007110	-0.002812
0.001000	149	C	-0.009574	0.002732	0.008016
0.001000	150	C	-0.002784	0.008297	0.004619
0.001000	151	C	-0.000021	-0.007751	0.004327
0.001000	152	C	-0.008625	-0.004307	-0.004699
0.001000	153	C	0.006852	-0.002277	-0.003505
0.001000	154	C	0.003510	0.001627	-0.007307
0.001000	155	C	-0.007322	0.006937	0.003532
0.001000	156	C	0.002910	-0.008126	0.002624
0.001000	157	C	-0.002790	0.003123	-0.001818
0.001000	158	C	-0.011569	-0.000077	0.005159
0.001000	159	C	0.007656	-0.001421	0.010998
0.001000	160	C	-0.011080	0.000940	0.000098
0.001000	161	C	-0.010267	-0.003782	0.008456
0.001000	162	C	-0.001226	-0.011504	-0.005703
0.001000	163	C	-0.008592	0.002325	-0.002584
0.001000	164	C	0.001436	-0.005835	-0.010694
0.001000	165	C	0.007357	-0.000481	-0.004439
0.001000	166	C	-0.009335	0.004667	0.005903
0.001000	167	C	-0.011722	-0.002600	0.000876
0.001000	168	C	0.000804	-0.008442	-0.009072
0.001000	169	C	-0.002458	-0.005756	0.004097
0.001000	170	C	0.009227	-0.003587	0.007753
0.001000	171	C	-0.000474	-0.006455	0.007799
0.001000	172	C	-0.000298	-0.002317	-0.010817
0.001000	173	C	0.003352	0.011837	-0.004066
0.001000	174	C	0.005921	-0.003369	-0.002882
0.001000	175	C	-0.001512	-0.001378	0.001311
0.001000	176	C	-0.002732	0.008237	0.003190
0.001000	177	C	-0.005884	-0.012361	0.003648
0.001000	178	C	-0.003862	0.004104	0.011219
0.001000	179	C	-0.010080	0.003790	0.005471
0.001000	180	C	0.001843	0.000520	-0.006498
0.001000	181	C	0.004593	-0.007521	0.006822
0.001000	182	C	-0.003160	0.007229	0.000651
0.001000	183	C	0.002061	0.001115	0.002363
0.001000	184	C	0.003310	0.003018	0.005419
0.001000	185	C	-0.003285	-0.003776	0.005421
0.001000	186	C	0.002599	-0.004476	-0.001226
0.001000	187	C	-0.000777	0.004569	-0.011016
0.001000	188	C	-0.000459	-0.007173	0.006475
0.001000	189	C	-0.004011	0.004940	-0.001565
0.001000	190	C	0.010637	-0.001370	-0.000618
0.001000	191	C	0.004619	-0.002875	-0.002977
0.001000	192	C	0.011679	-0.000220	0.001975
0.001000	193	C	0.008994	-0.005453	0.002302
0.001000	194	C	-0.010123	-0.002544	0.008963
0.001000	195	C	0.006996	0.011542	0.000882
0.001000	196	C	-0.001118	-0.001181	-0.009012
0.001000	197	C	0.000174	0.001238	0.010850
0.001000	198	C	-0.003838	-0.003760	-0.008214
0.001000	199	C	-0.010290	0.000332	0.008307
0.001000	200	C	-0.004561	0.007948	0.005470
0.001000	201	C	-0.005465	-0.002902	-0.006974
0.001000	202	C	0.000375	-0.000826	-0.000255
0.001000	203	C	-0.009836	0.000384	-0.002511
0.001000	204	C	-0.002076	0.008274	0.004513
0.001000	205	C	-0.011233	-0.004972	0.000282
0.001000	206	C	0.010861	0.006238	0.000439
0.001000	207	C	0.011227	-0.000174	0.006275
0.001000	208	C	-0.000165	-0.000475	-0.010422
0.001000	209	C	0.009038	-0.003793	-0.000844
0.001000	210	C	0.002084	0.005988	0.006230
0.001000	211	C	0.008088	0.009893	-0.001218
0.001000	212	C	0.000489	0.001615	0.010345
0.001000	213	C	-0.006960	-0.000689	-0.005238
0.001000	214	C	-0.000838	-0.013707	-0.001686
0.001000	215	C	0.006346	0.002885	-0.006437
0.001000	216	C	-0.003798	-0.002919	-0.007979
0.001000	217	C	-0.004069	0.005368	0.010110
0.001000	218	C	-0.004079	0.004699	-0.001731
0.001000	219	C	-0.011834	-0.000954	0.001840
0.001000	220	C	-0.004609	0.007905	0.005611
0.001000	221	C	-0.011429	0.001384	0.003776
0.001000	222	C	0.011009	0.005433	-0.000085
0.001000	223	C	0.003636	0.003135	-0.008170
0.001000	224	C	0.001787	-0.005756	-0.000237
0.001000	225	C	0.005748	-0.006914	-0.010029
0.001000	226	C	0.002288	-0.007353	0.001039
0.001000	227	C	-0.008314	-0.009477	-0.001521
0.001000	228	C	0.000393	-0.003919	0.010587
0.001000	229	C	0.009317	0.002414	-0.003948
0.001000	230	C	0.003317	-0.008037	0.005978
0.001000	231	C	-0.001662	-0.012693	-0.003679
0.001000	232	C	0.001013	-0.007761	0.002474
0.001000	233	C	-0.011074	-0.000278	-0.000730
0.001000	234	C	-0.005596	0.006984	0.007238
0.001000	235	C	0.000887	-0.004286	-0.000313
0.001000	236	C	-0.008011	0.004313	-0.010699
0.001000	237	C	0.006175	0.010976	-0.002563
0.001000	238	C	0.003606	-0.008081	0.005681
0.001000	239	C	0.002992	0.004800	0.004254
0.001000	240	C	0.004373	-0.002664	-0.012540
0.001000	241	C	0.006503	-0.002420	0.011321
0.001000	242	C	0.001471	0.000383	0.005443
0.001000	243	C	-0.003812	0.012598	-0.004472
0.001000	244	C	0.001946	0.002369	-0.009098
0.001000	245	C	0.001916	0.003826	-0.009532
0.001000	246	C	-0.001790	-0.003797	-0.009620
0.001000	247	C	0.000548	-0.000070	-0.001268
0.001000	248	C	0.002013	0.004589	0.008001
0.001000	249	C	-0.010951	-0.002568	-0.001497
0.001000	250	C	0.003017	0.001571	-0.007546
0.001000	251	C	0.000520	0.008592	-0.008614
0.001000	252	C	-0.008632	0.006566	-0.009012
0.001000	253	C	-0.002838	-0.003403	-0.008801
0.001000	254	C	-0.006354	-0.004289	-0.006634
0.001000	255	C	-0.011155	0.000835	0.000227
0.001000	256	C	0.009583	0.007622	-0.001520
0.001000	257	C	-0.003664	-0.013034	-0.001137
0.002000	1	H	-0.006581	0.003016	-0.003060
0.002000	2	H	0.002237	0.005034	0.007308
0.002000	3	H	-0.005542	0.010157	-0.007324
0.002000	4	H	0.006682	0.011427	-0.000623
0.002000	5	H	0.000317	0.006439	0.007955
0.002000	6	H	0.002408	-0.009446	-0.008498
0.002000	7	H	0.008499	0.002156	0.011024
0.002000	8	H	-0.008772	0.004994	0.000464
0.002000	9	H	-0.001999	0.008241	0.003629
0.002000	10	H	0.010021	0.005589	0.007974
0.002000	11	H	-0.003745	-0.001501	-0.007067
0.002000	12	H	-0.004125	0.007620	0.006853
0.002000	13	H	0.008257	0.002714	0.011244
0.002000	14	H	-0.000510	-0.004044	0.009865
0.002000	15	H	-0.001972	-0.005121	0.007641
0.002000	16	H	-0.003120	0.000757	-0.013551
0.002000	17	H	-0.004086	0.007630	0.001346
0.002000	18	H	0.002993	-0.007059	0.000456
0.002000	19	H	-0.005373	0.007546	-0.009683
0.002000	20	H	0.006538	0.004174	-0.006498
0.002000	21	H	-0.003812	0.008238	0.004346
0.002000	22	H	0.011210	-0.000266	-0.000066
0.002000	23	H	-0.009638	-0.000062	-0.002951
0.002000	24	H	0.006486	0.002770	-0.006319
0.002000	25	H	-0.008727	-0.009611	-0.000143
0.002000	26	H	0.007967	-0.005669	-0.009973
0.002000	27	H	-0.007518	-0.001426	0.011881
0.002000	28	H	0.004219	0.012861	-0.000883
0.002000	29	H	-0.010334	-0.007850	0.002685
0.002000	30	H	0.003873	-0.002450	0.012323
0.002000	31	H	0.002638	-0.000300	-0.013846
